wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (10.0065299999999997 5.31978000000000062),16/10/2017,16/10/2017,5.31978,10.00653,728,maize,cocoyam/soybean/jutemallow/cassava,2017_CM_GARDIAN-62_POINT_110163,11,9998,0,16/10/2017
Point (9.9915699999999994 5.18698000000000015),16/10/2017,16/10/2017,5.18698,9.99157,707,maize,bean/sweetpotatoe,2017_CM_GARDIAN-62_POINT_110164,11,9998,0,16/10/2017
Point (9.95232000000000028 5.10546999999999951),16/10/2017,16/10/2017,5.10547,9.95232,829,maize,cassava/coffee,2017_CM_GARDIAN-62_POINT_110165,10,9998,0,16/10/2017
Point (9.88731000000000115 6.87653999999999943),16/10/2017,16/10/2017,6.87654,9.88731,629,maize,sweetpotato,2017_CM_GARDIAN-62_POINT_110166,11,9998,0,16/10/2017
Point (9.29251000000000005 4.83380999999999972),16/10/2017,16/10/2017,4.83381,9.29251,474,maize,-,2017_CM_GARDIAN-62_POINT_110167,11,1200,0,16/10/2017
Point (9.67117000000000004 4.64268000000000036),16/10/2017,16/10/2017,4.64268,9.67117,177,maize,-,2017_CM_GARDIAN-62_POINT_110168,11,1200,0,16/10/2017
Point (9.6021099999999997 4.56193000000000026),17/10/2017,17/10/2017,4.56193,9.60211,67,maize,-,2017_CM_GARDIAN-62_POINT_110169,11,1200,0,17/10/2017
Point (9.60342999999999947 4.19172000000000011),17/10/2017,17/10/2017,4.19172,9.60343,68,maize,cassava/sweetpotato/groundnuts,2017_CM_GARDIAN-62_POINT_110170,11,9998,0,17/10/2017
Point (9.40527999999999942 4.61231999999999953),31/10/2017,31/10/2017,4.61232,9.40528,241,maize,cocoa/plantain/puraea,2017_CM_GARDIAN-62_POINT_110171,10,9998,0,31/10/2017
Point (9.46584000000000003 4.59524000000000044),03/11/2017,03/11/2017,4.59524,9.46584,188,maize,plantain/cocoa,2017_CM_GARDIAN-62_POINT_110172,10,9998,0,03/11/2017
Point (9.32737999999999978 4.22968999999999973),04/11/2017,04/11/2017,4.22969,9.32738,382,maize,-,2017_CM_GARDIAN-62_POINT_110173,11,1200,0,04/11/2017
Point (9.34273999999999916 4.23489000000000004),04/11/2017,04/11/2017,4.23489,9.34274,345,maize,cassava/vernonia,2017_CM_GARDIAN-62_POINT_110174,11,9998,0,04/11/2017
Point (9.30823999999999963 4.17896999999999963),04/11/2017,04/11/2017,4.17897,9.30824,482,maize,cassava,2017_CM_GARDIAN-62_POINT_110175,11,9998,0,04/11/2017
Point (9.2242999999999995 4.13466999999999985),04/11/2017,04/11/2017,4.13467,9.2243,925,maize,argeratum,2017_CM_GARDIAN-62_POINT_110176,11,9998,0,04/11/2017
Point (10.11402000000000001 3.59296999999999978),05/11/2017,05/11/2017,3.59297,10.11402,42,maize,groundnuts/plantain,2017_CM_GARDIAN-62_POINT_110177,11,9998,0,05/11/2017
